V 0 :0.993261 -0.0860012 -0.0776987 -0.0833676 -0.0644111 -0.994435 0.0805179 0.994211 -0.0711468 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.995821 -0.0481515 0.0776014 0.05576 -0.993518 0.0990653 0.0723282 0.102978 0.99205 ,0.00698032 0.0259224 -0.0703598 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,0.0463182 0.00340709 0.0696725 ,19.3055
V 890 :-0.160403 -0.987046 0.00337749 0.261906 -0.0458605 -0.964003 0.95167 -0.153745 0.265869 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.133846 -0.964449 -0.227868 0.990828 0.125932 0.0489923 -0.0185546 -0.232336 0.972459 ,-6.87715 0.0772556 29.7357 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-29.5068 -2.24683 -7.78033 ,19.3055
V 892 :-0.0864749 -0.996254 -0.000626143 0.278049 -0.0235311 -0.960279 0.956667 -0.0832141 0.279042 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.0599249 -0.967806 -0.24446 0.998091 0.0544334 0.0291644 -0.0149187 -0.245742 0.969221 ,-4.76779 0.560795 29.7576 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-29.1188 -2.3008 -7.74157 ,19.3055
V 893 :-0.0500276 -0.998727 0.00649816 0.24962 -0.0188031 -0.968161 0.967051 -0.0468128 0.250242 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.0229712 -0.976122 -0.216005 0.999511 0.0178337 0.0257038 -0.0212379 -0.21649 0.976054 ,-3.66384 -0.375282 29.7405 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-28.9304 -2.31713 -7.75269 ,19.3055
V 894 :-0.0484211 -0.998463 0.0269687 0.261511 -0.0387314 -0.964423 0.963985 -0.0396459 0.262984 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.0215463 -0.973421 -0.228007 0.998883 0.0113674 0.0458624 -0.0420516 -0.228741 0.972579 ,-3.39426 -0.139726 29.5735 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-28.7167 -2.26465 -7.79149 ,19.3055
V 896 :-0.0786853 -0.996812 0.0132345 0.271256 -0.0341831 -0.9619 0.959286 -0.0720975 0.273081 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.0520097 -0.969958 -0.237649 0.998237 0.043678 0.0401943 -0.0286067 -0.23932 0.970519 ,-4.22087 0.105563 29.0655 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-28.3249 -2.14884 -7.75219 ,19.3055
V 897 :-0.0806139 -0.996736 0.00445033 0.254128 -0.0248702 -0.966851 0.963805 -0.0768107 0.255303 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.0536738 -0.973941 -0.220361 0.998371 0.0480683 0.0307255 -0.0193325 -0.221651 0.974934 ,-4.34283 -0.480871 28.862 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-28.1268 -2.16441 -7.78549 ,19.3055
V 898 :-0.0613183 -0.9981 0.00607223 0.277496 -0.0228912 -0.960454 0.958768 -0.0572084 0.278372 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.0347132 -0.969141 -0.244051 0.999164 0.0283778 0.029429 -0.0215952 -0.244868 0.969316 ,-3.80393 0.162116 28.7452 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-27.9196 -2.19073 -7.79618 ,19.3055
V 899 :-0.0487824 -0.998779 0.00775958 0.295083 -0.0218336 -0.955222 0.954226 -0.0443083 0.295787 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.022451 -0.964837 -0.261888 0.999466 0.0154345 0.0288185 -0.023763 -0.262396 0.964668 ,-3.43506 0.684423 28.5851 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-27.7275 -2.19253 -7.74916 ,19.3055
V 900 :-0.0324353 -0.999317 0.0177215 0.268804 -0.0257995 -0.96285 0.962649 -0.0264667 0.269457 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.00566272 -0.971863 -0.235477 0.99944 -0.00226822 0.0333959 -0.0329904 -0.235535 0.971306 ,-2.90712 -0.147794 28.4766 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-27.5475 -2.19948 -7.73586 ,19.3055
V 901 :-0.010653 -0.999785 0.0177814 0.270348 -0.0199999 -0.962555 0.962704 -0.00544697 0.270503 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.0160993 -0.971326 -0.237204 0.999323 -0.0234797 0.0283219 -0.0330793 -0.236588 0.971047 ,-2.30158 -0.172541 28.3548 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-27.3541 -2.19604 -7.76714 ,19.3055
V 902 :-0.0363043 -0.99933 0.00457858 0.280239 -0.0145782 -0.95982 0.959244 -0.0335625 0.28058 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.00971743 -0.96897 -0.246989 0.99975 0.00443381 0.0219394 -0.0201635 -0.24714 0.96877 ,-3.08815 0.0875389 28.028 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-27.1027 -2.18838 -7.73932 ,19.3055
V 904 :-0.0375495 -0.999284 -0.00469994 0.277561 -0.00591136 -0.96069 0.959974 -0.037378 0.277584 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.0109202 -0.969644 -0.244277 0.999882 0.00794863 0.0131471 -0.0108063 -0.244392 0.969616 ,-3.18948 -0.0738557 27.6823 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-26.7539 -2.19735 -7.74367 ,19.3055
V 905 :-0.0233048 -0.999704 -0.0069345 0.271758 0.000340367 -0.962366 0.962084 -0.0243121 0.27167 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.00342441 -0.97113 -0.238527 0.999959 -0.00533123 0.00734918 -0.00840862 -0.238492 0.971108 ,-2.83031 -0.284306 27.6067 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-26.6282 -2.20382 -7.76632 ,19.3055
V 906 :0.000626131 -0.999864 -0.0165102 0.295059 0.0159599 -0.955346 0.955479 -0.00427329 0.295029 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.0269717 -0.964625 -0.262244 0.999636 -0.0258914 -0.0075748 0.000516981 -0.262352 0.964972 ,-2.26666 0.382669 27.4692 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-26.4368 -2.20281 -7.75161 ,19.3055
V 907 :0.0140554 -0.999898 0.00258132 0.288048 0.00157686 -0.957615 0.957513 0.0142033 0.288041 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.040508 -0.966018 -0.255282 0.99901 -0.0438552 0.00743074 -0.0183736 -0.254728 0.966838 ,-1.76582 0.13976 27.3939 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-26.3238 -2.20326 -7.72627 ,19.3055
V 908 :0.0227433 -0.999596 0.0170417 0.287685 -0.00978147 -0.957675 0.957455 0.0266834 0.287346 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.0491928 -0.96569 -0.254995 0.99825 -0.0559228 0.0192058 -0.0328069 -0.253604 0.966752 ,-1.41868 0.046402 27.2501 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-26.1497 -2.19339 -7.73494 ,19.3055
V 909 :0.0181542 -0.999634 0.0200563 0.286191 -0.014025 -0.95807 0.958001 0.0231329 0.285832 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.0446334 -0.96632 -0.253444 0.998363 -0.0522311 0.0233257 -0.0357777 -0.251988 0.967069 ,-1.50634 -0.0648294 27.1347 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-26.0272 -2.18257 -7.76094 ,19.3055
V 910 :-0.00517202 -0.999882 0.0144811 0.270449 -0.0153403 -0.962612 0.96272 -0.00106216 0.270497 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.0215774 -0.971184 -0.237352 0.999324 -0.0280231 0.0238158 -0.0297809 -0.236678 0.971132 ,-2.14176 -0.559215 26.9133 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-25.8485 -2.16797 -7.75933 ,19.3055
V 911 :-0.0305575 -0.9994 0.0163008 0.288026 -0.024421 -0.957311 0.957135 -0.0245581 0.2886 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.00409488 -0.966961 -0.254893 0.999476 -0.0042248 0.0320842 -0.032101 -0.25489 0.966437 ,-2.68235 -0.114735 26.6863 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-25.6717 -2.0726 -7.74126 ,19.3055
V 913 :-0.0200245 -0.999768 0.008001 0.293991 -0.0135368 -0.955712 0.955599 -0.0167854 0.294193 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.00634244 -0.965319 -0.260996 0.999693 -0.0123747 0.0214754 -0.0239604 -0.260779 0.965101 ,-1.97789 -0.159216 26.3364 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-25.2399 -1.583 -7.85869 ,19.3055
V 914 :0.0576507 -0.998083 0.0225114 0.289608 -0.00485967 -0.957133 0.955408 0.0616989 0.288773 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.0840079 -0.962677 -0.257284 0.995728 -0.0910267 0.0154702 -0.0383125 -0.254886 0.966212 ,0.269031 -0.351402 26.1786 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-25.0011 -1.39955 -7.87527 ,19.3055
V 915 :0.169896 -0.985173 0.0238686 0.27551 0.0242297 -0.960993 0.946166 0.169845 0.275542 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.196029 -0.949636 -0.244467 0.97981 -0.199679 -0.010017 -0.0393025 -0.241495 0.969606 ,3.1206 -0.727864 25.817 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-24.8263 -1.35222 -7.85968 ,19.3055
V 916 :0.287263 -0.957544 0.0242596 0.260695 0.0537874 -0.963922 0.921693 0.283224 0.265078 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.312721 -0.921203 -0.231498 0.949028 -0.31314 -0.0359189 -0.0394026 -0.23093 0.972172 ,6.10392 -1.1751 24.9944 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-24.5459 -1.23817 -7.87746 ,19.3055
V 917 :0.401826 -0.915484 0.0206094 0.251282 0.0885948 -0.963851 0.880564 0.392479 0.265644 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.42607 -0.8764 -0.224471 0.903983 -0.422234 -0.0673311 -0.0357705 -0.231606 0.972152 ,8.96027 -1.46124 23.7873 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-24.2325 -1.07784 -7.88346 ,19.3055
V 918 :0.491555 -0.870841 -0.00315182 0.244944 0.141732 -0.959122 0.835689 0.47069 0.282976 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.514463 -0.828696 -0.220435 0.857422 -0.50087 -0.118145 -0.0125031 -0.249786 0.96822 ,10.9018 -1.6804 22.3346 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-23.6574 -0.860752 -7.87145 ,19.3055
V 919 :0.261541 -0.964249 -0.0426683 0.278057 0.117605 -0.953338 0.924273 0.237473 0.298874 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.286958 -0.925139 -0.248541 0.957575 -0.26983 -0.101203 0.0265627 -0.267037 0.96332 ,5.04709 -1.06376 23.7323 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-23.0232 -0.711377 -7.86891 ,19.3055
V 921 :-0.343758 -0.938073 -0.0429975 0.274036 -0.0564155 -0.960063 0.898184 -0.341813 0.276459 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.318804 -0.916865 -0.240255 0.947421 0.315619 0.0526991 0.0275114 -0.244424 0.969278 ,-8.6934 -1.66121 21.3707 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-21.8185 -0.962359 -7.85212 ,19.3055
V 922 :-0.550674 -0.834232 -0.02854 0.234338 -0.121689 -0.964509 0.801152 -0.537818 0.262503 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.528224 -0.824695 -0.202133 0.848999 0.516743 0.110351 0.0134445 -0.229901 0.973121 ,-12.9984 -2.75745 18.4226 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-21.3628 -1.26825 -7.84003 ,19.3055
V 924 :-0.912426 -0.408236 -0.028695 0.140045 -0.245583 -0.959206 0.384535 -0.879223 0.281248 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.901549 -0.415978 -0.119046 0.432479 0.874674 0.218877 0.013079 -0.248813 0.968463 ,-19.9137 -5.24546 8.01592 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-20.5935 -2.31757 -7.83239 ,19.3055
V 925 :-0.971411 -0.235672 -0.0286433 0.0964387 -0.281475 -0.95471 0.216936 -0.930178 0.296155 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.965188 -0.248798 -0.0806899 0.261251 0.931922 0.251535 0.0126154 -0.263859 0.964479 ,-20.6283 -6.37652 3.96011 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-20.348 -2.90707 -7.82766 ,19.3055
V 926 :-0.98582 -0.167623 -0.0078579 0.0558825 -0.28378 -0.95726 0.158229 -0.944125 0.289123 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.981041 -0.189184 -0.0420415 0.193635 0.947949 0.252782 -0.00796903 -0.25613 0.966609 ,-20.5385 -7.42196 2.03346 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-20.2143 -3.55917 -7.82873 ,19.3055
V 927 :-0.9985 -0.0546119 0.0040004 0.0113139 -0.277233 -0.960736 0.0535767 -0.959249 0.277435 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.996509 -0.0834815 -0.000967187 0.0811783 0.966179 0.24476 -0.0194984 -0.243984 0.969583 ,-20.2543 -8.50393 -0.871695 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-20.1324 -4.22388 -7.82032 ,19.3055
V 929 :-0.999019 0.0257821 0.036005 -0.0416574 -0.271276 -0.9616 -0.0150248 -0.962156 0.272084 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.998681 -0.0131441 0.0496323 0.000954009 0.971259 0.238022 -0.0513344 -0.237661 0.969991 ,-19.6432 -9.91352 -3.59445 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-20.1351 -5.56157 -7.81883 ,19.3055
V 930 :-0.999823 0.0182391 0.00466512 -0.0100549 -0.307844 -0.951384 -0.0159162 -0.951262 0.307973 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.999748 -0.0133644 0.0180258 0.00789352 0.961411 0.275004 -0.0210055 -0.274792 0.961274 ,-19.9879 -9.60518 -3.90815 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-20.1888 -6.22967 -7.817 ,19.3055
V 931 :-0.99966 0.0150944 0.0212687 -0.0247711 -0.294351 -0.955377 -0.00816038 -0.955578 0.294624 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.999243 -0.0206012 0.0329964 0.0112669 0.965165 0.261398 -0.0372321 -0.260828 0.964667 ,-19.8944 -10.0473 -4.52803 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-20.219 -6.90417 -7.81553 ,19.3055
V 932 :-0.999616 0.0253208 0.0112916 -0.0178724 -0.277173 -0.960654 -0.0211948 -0.960486 0.277519 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.99964 -0.00781622 0.0256564 0.00132094 0.96978 0.243977 -0.026788 -0.243855 0.969442 ,-19.9677 -10.0387 -5.60616 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-20.3032 -7.58165 -7.83525 ,19.3055
V 933 :-0.999767 0.0214028 -0.00292432 -0.00365544 -0.301046 -0.953603 -0.0212901 -0.95337 0.301054 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.999901 -0.00821452 0.0114463 0.00484529 0.963376 0.268111 -0.0132295 -0.268029 0.96332 ,-20.1369 -10.0614 -5.97198 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-20.3418 -8.21113 -7.83096 ,19.3055
V 934 :-0.999304 0.0370261 0.00464518 -0.0163359 -0.322141 -0.946551 -0.0335507 -0.945967 0.322522 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.999709 0.00448331 0.0236961 -0.0111501 0.95717 0.289313 -0.0213841 -0.289493 0.956941 ,-20.0088 -10.6652 -6.64246 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-20.4362 -8.89684 -7.8367 ,19.3055
V 935 :-0.997514 0.0704712 0.000566339 -0.0215554 -0.297443 -0.954496 -0.0670961 -0.952135 0.298223 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.998884 0.0382267 0.0277512 -0.0442097 0.963472 0.264134 -0.0166405 -0.265067 0.964087 ,-19.7068 -10.8122 -8.25055 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-20.486 -9.60053 -7.82361 ,19.3055
V 936 :-0.992057 0.125613 -0.00669906 -0.025506 -0.253017 -0.967126 -0.123179 -0.959273 0.254211 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.995076 0.0945489 0.0297372 -0.0987788 0.970707 0.219022 -0.00815782 -0.220881 0.975267 ,-19.1328 -10.7728 -10.4742 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-20.5831 -10.2866 -7.8559 ,19.3055
V 937 :-0.996347 0.0835429 0.0177116 -0.0392505 -0.26378 -0.963784 -0.0758454 -0.960958 0.266095 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.997846 0.0476102 0.0451266 -0.0567589 0.971515 0.230079 -0.0328871 -0.232145 0.972125 ,-19.4457 -11.3299 -10.1013 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-20.6256 -10.989 -7.85882 ,19.3055
V 938 :-0.981505 0.191332 -0.00639906 -0.04408 -0.258399 -0.965032 -0.186295 -0.946901 0.262054 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.986276 0.158552 0.0460537 -0.164877 0.96048 0.224263 -0.00867638 -0.228778 0.97344 ,-18.1212 -11.5594 -12.8644 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-20.7238 -11.6152 -7.87233 ,19.3055
