V 0 :0.997834 -0.0105558 -0.0649297 -0.0645998 0.0290595 -0.997488 0.0124161 0.999522 0.0283145 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.998216 0.01937 0.05648 -0.0191071 -0.999804 0.00519115 0.0565694 0.00410272 0.99839 ,-0.0740332 0.0302236 -0.0400969 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,0.125719 -0.0316271 0.0687992 ,19.3055
V 266 :-0.0794755 0.995956 0.0419044 -0.0551221 0.0375822 -0.997772 -0.995312 -0.0816082 0.0519122 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.108774 0.993828 0.0217664 -0.992761 0.109727 -0.0488344 -0.0509214 -0.0162969 0.99857 ,-4.80158 -1.22185 -18.4663 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-18.7619 3.37195 -0.0135148 ,19.3055
V 267 :0.033641 0.998878 0.033342 -0.0186619 0.0339829 -0.999248 -0.99926 0.0329934 0.0197841 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,-0.00389698 0.999868 -0.0157701 -0.999135 -0.0045462 -0.0413476 -0.0414138 0.0155953 0.99902 ,-2.66098 -0.52993 -19.5127 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-19.348 3.36315 -0.00713245 ,19.3055
V 268 :-0.0203053 0.998196 0.0565104 -0.00756817 0.056367 -0.998381 -0.999765 -0.0207002 0.00640986 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.050122 0.998394 -0.0264144 -0.99668 0.0483019 -0.0655461 -0.0641649 0.029612 0.9975 ,-3.72718 -0.39601 -19.9449 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-19.9513 3.37584 -0.00729808 ,19.3055
V 269 :0.0241093 0.999406 0.0246144 -0.0107047 0.0248782 -0.999633 -0.999652 0.023837 0.0112981 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.00570157 0.999704 -0.0236545 -0.999458 0.00492963 -0.0325658 -0.0324395 0.0238273 0.99919 ,-2.81086 -0.348067 -20.7025 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-20.5615 3.35578 0.00296811 ,19.3055
V 271 :-0.0824877 0.995448 0.0477293 -0.0596724 0.0428732 -0.997297 -0.994804 -0.0851129 0.0558642 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.111736 0.993388 0.0263569 -0.99211 0.113031 -0.0542375 -0.056858 -0.0200887 0.99818 ,-5.02749 -1.4924 -21.1948 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-21.5216 3.31548 -0.0186126 ,19.3055
V 272 :0.00480984 0.999622 0.0270628 -0.0217467 0.0271612 -0.999394 -0.999752 0.00421843 0.021869 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.024912 0.999612 -0.0124583 -0.99907 0.0244558 -0.0355194 -0.035201 0.0133316 0.999291 ,-3.13378 -0.642133 -22.2091 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-22.1331 3.28941 -0.0240391 ,19.3055
V 273 :-0.0645615 0.996451 0.0540059 -0.0317861 0.052038 -0.998139 -0.997408 -0.066158 0.0283135 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.094105 0.995561 -0.00175384 -0.99361 0.0938101 -0.0627577 -0.0623145 0.00764845 0.998027 ,-4.64479 -0.939127 -22.5636 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-22.7684 3.23357 0.000301539 ,19.3055
V 274 :0.000115657 0.999601 0.0282387 -0.00127598 0.0282389 -0.9996 -0.999999 7.95782e-05 0.00127865 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.0297649 0.999016 -0.0328847 -0.998917 0.0285527 -0.0367376 -0.0357625 0.0339426 0.998784 ,-3.15064 -0.164229 -23.4498 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-23.3813 3.20181 0.00346518 ,19.3055
V 275 :-0.0646552 0.996079 0.0603859 -0.0154956 0.0595031 -0.998108 -0.997788 -0.0654686 0.0115876 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.0943322 0.995377 -0.0180463 -0.993203 0.0928536 -0.0701915 -0.0681913 0.024545 0.99737 ,-4.67636 -0.622997 -23.5718 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-23.7659 3.20062 -0.0168706 ,19.3055
V 276 :-0.0978274 0.993855 0.0517955 -0.00117943 0.0519293 -0.99865 -0.995203 -0.0977565 -0.00390803 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.127519 0.99132 -0.0319827 -0.990071 0.125303 -0.0637063 -0.0591458 0.0397889 0.997456 ,-5.47934 -0.279762 -23.9111 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-24.2695 3.17392 -0.0389283 ,19.3055
V 277 :-0.0091906 0.999687 0.023254 0.000875577 0.023263 -0.999729 -0.999958 -0.00916775 -0.0010892 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.0390817 0.998625 -0.0349542 -0.998764 0.0379642 -0.0320814 -0.0307103 0.0361648 0.998874 ,-3.36161 -0.106357 -24.5557 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-24.5178 3.1847 -0.00629685 ,19.3055
V 278 :0.00448612 0.99919 0.0399941 -0.0101292 0.0400379 -0.999147 -0.999939 0.00407719 0.0103005 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.0253283 0.999389 -0.0240722 -0.998537 0.0241412 -0.0483892 -0.0477785 0.0252626 0.998538 ,-3.05468 -0.481914 -24.9832 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-24.904 3.21842 -0.0534008 ,19.3055
V 279 :-0.0125343 0.998022 0.0615998 0.0143555 0.0617779 -0.997987 -0.999819 -0.0116248 -0.0151015 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.0425207 0.997923 -0.0483925 -0.996737 0.0390445 -0.0706421 -0.0686059 0.0512384 0.996327 ,-3.49013 0.0581347 -25.1256 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-25.0987 3.23261 -0.0551328 ,19.3055
V 280 :-0.0757935 0.995018 0.0647678 0.0454109 0.0683317 -0.996629 -0.996089 -0.0725968 -0.0503638 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.105871 0.991256 -0.0787621 -0.991863 0.0996393 -0.0792491 -0.0707083 0.0865114 0.993738 ,-5.08251 0.845832 -25.1484 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-25.4114 3.22245 -0.0406218 ,19.3055
V 281 :-0.0745154 0.994985 0.0667312 0.000746852 0.0669729 -0.997755 -0.99722 -0.0742982 -0.0057337 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.104293 0.993959 -0.0341753 -0.991789 0.101385 -0.0779489 -0.0740132 0.0420242 0.996371 ,-5.04941 -0.304058 -25.4332 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-25.6741 3.20374 -0.0613638 ,19.3055
V 282 :-0.0342996 0.997193 0.0665524 0.0460535 0.0680979 -0.996615 -0.99835 -0.0311185 -0.0482601 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.0644696 0.994721 -0.0798353 -0.995279 0.0582763 -0.0776171 -0.0725548 0.0844623 0.993782 ,-4.02018 0.915805 -25.9102 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-25.9832 3.18629 -0.0164469 ,19.3055
V 283 :-0.0406693 0.99789 0.050623 0.0155985 0.0512928 -0.998562 -0.999051 -0.0398212 -0.0176517 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.0706288 0.99628 -0.0493687 -0.99584 0.0675687 -0.0611256 -0.0575624 0.0534806 0.996908 ,-4.18111 0.143827 -26.1578 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-26.2397 3.17074 -0.0554728 ,19.3055
V 284 :-0.0736836 0.996154 0.0474236 -0.00539755 0.0471538 -0.998873 -0.997267 -0.0738565 0.00190224 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.103417 0.994243 -0.0280435 -0.993119 0.10166 -0.058137 -0.0549514 0.0338628 0.997915 ,-5.03863 -0.402332 -26.1349 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-26.3721 3.15788 -0.0637094 ,19.3055
V 285 :-0.137139 0.989526 0.0450725 0.00802561 0.0466109 -0.998881 -0.99052 -0.136624 -0.0143338 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.166741 0.985161 -0.040687 -0.984623 0.164185 -0.059682 -0.0521162 0.0500128 0.997388 ,-6.6912 -0.00358271 -26.0111 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-26.6214 3.12144 -0.0243264 ,19.3055
V 286 :-0.188039 0.979708 0.0693754 -0.0170584 0.0673671 -0.997582 -0.982014 -0.188767 0.00404453 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.217174 0.976019 -0.0148943 -0.973095 0.21527 -0.0821228 -0.0769472 0.0323284 0.996511 ,-8.01223 -0.73691 -25.8116 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-26.8076 3.08291 -0.0245456 ,19.3055
V 287 :-0.210347 0.975523 0.0641014 -0.00754214 0.0639472 -0.997925 -0.977598 -0.210394 -0.00609366 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.239411 0.97062 -0.0240636 -0.968291 0.236868 -0.0794081 -0.0713752 0.0423118 0.996552 ,-8.56362 -0.447398 -26.2304 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-27.3904 2.92133 -0.00657498 ,19.3055
V 288 :-0.470752 0.878695 0.0792918 -0.0476025 0.0644455 -0.996785 -0.880981 -0.473013 0.0114902 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.496504 0.867769 0.0214915 -0.863656 0.496332 -0.0880517 -0.0870754 0.0251567 0.995884 ,-15.4279 -1.56732 -23.3174 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-27.8394 2.69872 -0.0207936 ,19.3055
V 289 :-0.649668 0.756981 0.0700773 -0.0727073 0.0298883 -0.996905 -0.756733 -0.652753 0.0356205 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.671433 0.739214 0.0523497 -0.736887 0.67347 -0.0586184 -0.0785875 0.000782533 0.996907 ,-20.0644 -2.19901 -19.7992 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-28.1534 2.409 -0.0327033 ,19.3055
V 290 :-0.816449 0.574943 0.0533984 -0.0748488 -0.0136823 -0.997101 -0.572546 -0.818079 0.0542046 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.832613 0.550351 0.0622028 -0.55032 0.834733 -0.0191707 -0.0624734 -0.0182697 0.997879 ,-24.3472 -2.18538 -14.7888 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-28.5051 1.95356 -0.0311868 ,19.3055
V 291 :-0.950706 0.305929 0.0506573 -0.0602116 -0.0218688 -0.997946 -0.304193 -0.951803 0.0392112 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.958895 0.277795 0.0578856 -0.277498 0.960635 -0.0132646 -0.0592918 -0.0033438 0.998235 ,-27.7367 -1.77729 -7.51961 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-28.7852 1.36981 -0.0266501 ,19.3055
V 292 :-0.950602 0.305032 0.0575446 -0.0814911 -0.0663524 -0.994463 -0.299525 -0.950028 0.0879321 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.958492 0.273867 0.0793105 -0.276988 0.960365 0.0312597 -0.067606 -0.0519303 0.99636 ,-27.7687 -2.36359 -7.96857 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-28.997 0.825518 -0.00796281 ,19.3055
V 293 :-0.99183 0.113065 0.0590694 -0.0679908 -0.0767452 -0.99473 -0.107936 -0.990619 0.0838055 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.994075 0.0807903 0.0727143 -0.0839777 0.995587 0.0418955 -0.0690086 -0.0477536 0.996472 ,-28.8231 -1.99743 -2.9875 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-29.0822 0.222675 0.0103041 ,19.3055
V 294 :-0.988266 0.152681 0.00432709 -0.00743228 -0.0197729 -0.999777 -0.152561 -0.988078 0.0206755 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.992301 0.123392 0.0106387 -0.123223 0.992261 -0.0152923 -0.0124433 0.0138636 0.999826 ,-28.6905 -0.252923 -4.87292 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-29.1351 -0.363784 0.018258 ,19.3055
V 295 :-0.997549 0.0585629 0.0382818 -0.0382141 0.00227466 -0.999267 -0.0586071 -0.998281 -3.12499e-05 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.998541 0.0303183 0.0446899 -0.0286793 0.998908 -0.0368726 -0.0457591 0.0355371 0.99832 ,-29.0176 -1.13752 -2.68575 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-29.1887 -0.908453 0.0232909 ,19.3055
V 296 :-0.991338 0.128566 0.0268271 -0.029725 -0.0206744 -0.999344 -0.127927 -0.991486 0.0243169 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.994468 0.0994586 0.0337852 -0.0990241 0.994982 -0.0143022 -0.0350382 0.0108775 0.999327 ,-28.7424 -0.900794 -5.30945 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-29.2362 -1.5129 0.0470023 ,19.3055
V 298 :-0.992311 0.115381 0.0447811 -0.0493008 -0.036619 -0.998112 -0.113523 -0.992646 0.0420257 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.994863 0.0857146 0.0538492 -0.0859306 0.9963 0.0017052 -0.0535037 -0.00632373 0.998548 ,-28.7268 -1.57881 -6.10616 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-29.3138 -2.72965 0.0138066 ,19.3055
V 299 :-0.990907 0.126326 0.0463071 -0.0507903 -0.0325002 -0.99818 -0.124592 -0.991456 0.0386207 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.99378 0.0968642 0.0549478 -0.0968755 0.995293 -0.00246371 -0.0549278 -0.00287471 0.998486 ,-28.6207 -1.67785 -6.84777 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-29.3348 -3.15312 -0.0380721 ,19.3055
V 300 :-0.998887 0.0349142 0.0317126 -0.0309536 0.0220691 -0.999277 -0.0355889 -0.999147 -0.0209639 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.999244 0.00703452 0.0382316 -0.00486746 0.998392 -0.0564827 -0.0385675 0.056254 0.997671 ,-29.1253 -0.882371 -4.62845 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-29.3282 -3.51939 -0.00478487 ,19.3055
V 301 :-0.997848 0.0511754 0.0409826 -0.0425021 -0.0289648 -0.998676 -0.0499206 -0.99827 0.0310775 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.998548 0.0217795 0.0492745 -0.02153 0.999753 -0.00558915 -0.0493841 0.00452016 0.99877 ,-28.9964 -1.39531 -5.71798 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-29.3206 -4.19272 0.0197857 ,19.3055
V 302 :-0.997946 -0.0170422 0.0617527 -0.061351 -0.0231691 -0.997847 0.0184363 -0.999586 0.0220759 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.996461 -0.0458615 0.0704475 0.0467381 0.998848 -0.0108448 -0.069869 0.014099 0.997457 ,-29.3139 -1.94781 -4.37894 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-29.338 -4.85336 0.0120218 ,19.3055
V 303 :-0.997094 -0.0210103 0.0732295 -0.0722932 -0.0423149 -0.996485 0.0240351 -0.998884 0.0406729 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.995359 -0.0510529 0.0815669 0.0505396 0.998687 0.00834688 -0.081886 -0.00418579 0.996633 ,-29.3048 -2.40067 -4.57955 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-29.3285 -5.22258 -0.0120282 ,19.3055
V 304 :-0.998308 0.0507339 0.0284038 -0.0326653 -0.0852453 -0.995824 -0.0481008 -0.995068 0.0867583 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.999027 0.0196096 0.0395099 -0.0216067 0.998477 0.0507696 -0.0384541 -0.0515739 0.997929 ,-28.9651 -1.50642 -7.2158 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-29.3547 -5.7648 -0.0087133 ,19.3055
V 305 :-0.99875 -0.0197811 0.0458973 -0.0444369 -0.0688371 -0.996638 0.022874 -0.997432 0.067872 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.997259 -0.0509003 0.0537024 0.0490686 0.998186 0.0348918 -0.0553809 -0.032161 0.997947 ,-29.3845 -1.80633 -5.74849 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-29.3432 -6.36897 -0.0165969 ,19.3055
V 306 :-0.993349 0.105077 0.0470889 -0.0540254 -0.0641738 -0.996475 -0.101685 -0.992391 0.0694237 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.995511 0.0740197 0.0589842 -0.0758455 0.996688 0.0293394 -0.0566171 -0.0336814 0.997828 ,-28.4032 -2.04584 -9.86156 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-29.365 -6.8576 0.028241 ,19.3055
V 307 :-0.998567 0.0494598 0.0204398 -0.0231562 -0.0549872 -0.998219 -0.0482478 -0.997261 0.0560536 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.999361 0.0194217 0.0300039 -0.0200406 0.99959 0.0204661 -0.0295941 -0.0210543 0.99934 ,-28.9261 -1.11646 -8.86946 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-29.3812 -7.40292 0.018442 ,19.3055
V 308 :-0.996963 0.0731761 0.0266554 -0.0312259 -0.0620435 -0.997585 -0.0713456 -0.995387 0.0641399 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.998388 0.0428207 0.0372659 -0.0438545 0.998663 0.02738 -0.0360437 -0.0289701 0.99893 ,-28.6596 -1.44891 -10.0876 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-29.3783 -7.95951 0.0097555 ,19.3055
V 309 :-0.992649 0.119391 0.0198537 -0.031639 -0.0976412 -0.994719 -0.116822 -0.988034 0.100701 ,-0.999525 0.0296153 -0.00852233 0.00750192 -0.0343975 -0.99938 -0.0298901 -0.998969 0.0341589 ,-0.999525 0.00750192 -0.0298901 0.0296153 -0.0343975 -0.998969 -0.00852233 -0.99938 0.0341589 ,0.995432 0.0883926 0.0360885 -0.0905348 0.99391 0.062813 -0.0303165 -0.0657933 0.997373 ,-28.1694 -1.81363 -11.7962 ,0.0472799 -0.0474432 -0.0682 ,0.0455748 -0.0711618 -0.0446813 ,-29.4352 -8.39124 -0.0156364 ,19.3055
